id,SalePrice
1461,123748.3
1462,150485.98
1463,187303.27
1464,185940.06
1465,198316.4
1466,176262.9
1467,167434.34
1468,165305.3
1469,189883.36
1470,125570.48
1471,195644.6
1472,97162.46
1473,95214.14
1474,151331.19
1475,141419.98
1476,360110.66
1477,251111.75
1478,301198.97
1479,200538.75
1480,560578.94
1481,295161.4
1482,203110.72
1483,170875.19
1484,170122.05
1485,170851.5
1486,183597.05
1487,301664.28
1488,234707.92
1489,204799.89
1490,186607.12
1491,182905.66
1492,97237.67
1493,193973.19
1494,290666.03
1495,292802.84
1496,236114.22
1497,183179.88
1498,161868.84
1499,160092.64
1500,153062.47
1501,178261.34
1502,160554.77
1503,291453.5
1504,236805.95
1505,218300.55
1506,188338.5
1507,225145.11
1508,226986.11
1509,162520.94
1510,147285.14
1511,150567.7
1512,165422.28
1513,160126.52
1514,172705.56
1515,181134.7
1516,170460.31
1517,156069.14
1518,125588.03
1519,219295.28
1520,135830.53
1521,136329.08
1522,162710.9
1523,111187.484
1524,122125.234
1525,124499.26
1526,124712.664
1527,110174.82
1528,135859.12
1529,143105.61
1530,175614.02
1531,121238.86
1532,101431.65
1533,144530.89
1534,122504.12
1535,162105.78
1536,113739.32
1537,88134.89
1538,195791.31
1539,194159.72
1540,105509.67
1541,151014.83
1542,146700.06
1543,202953.95
1544,81383.49
1545,100434.3
1546,121316.94
1547,130632.016
1548,131710.84
1549,115960.73
1550,134984.73
1551,111264.64
1552,137803.6
1553,154120.42
1554,115864.375
1555,181080.86
1556,94471.16
1557,112998.06
1558,91705.01
1559,114720.125
1560,139075.38
1561,150670.47
1562,127978.86
1563,123613.98
1564,156848.34
1565,157679.83
1566,233868.58
1567,78819.59
1568,233744.19
1569,141595.83
1570,132579.92
1571,139128.55
1572,149333.17
1573,250240.22
1574,94648.35
1575,194834.98
1576,227741.92
1577,200165.27
1578,146137.03
1579,137409.38
1580,193184.27
1581,143804.7
1582,127854.88
1583,352045.03
1584,227007.56
1585,141305.36
1586,72181.96
1587,100414.9
1588,150041.25
1589,104742.84
1590,129041.125
1591,102481.9
1592,124346.63
1593,127530.98
1594,135845.3
1595,115084.83
1596,225479.12
1597,159348.03
1598,195101.77
1599,192478.67
1600,189994.86
1601,70201.56
1602,113057.805
1603,92981.83
1604,273279.3
1605,256663.0
1606,168861.3
1607,178077.3
1608,211712.36
1609,188129.67
1610,157755.34
1611,151468.1
1612,159150.53
1613,167798.83
1614,121386.24
1615,87336.86
1616,71529.33
1617,90339.93
1618,126656.4
1619,139280.94
1620,135278.78
1621,140278.02
1622,137446.03
1623,267552.3
1624,214333.6
1625,129017.15
1626,168996.53
1627,186367.88
1628,276028.3
1629,179556.42
1630,362667.66
1631,212339.22
1632,245046.1
1633,171819.94
1634,180810.17
1635,182018.64
1636,155284.36
1637,163832.83
1638,207227.64
1639,177629.66
1640,262584.38
1641,173800.5
1642,233949.19
1643,221716.81
1644,227069.72
1645,186462.08
1646,148509.78
1647,173901.34
1648,139919.56
1649,135681.89
1650,125023.55
1651,128682.695
1652,94177.305
1653,94853.5
1654,154643.95
1655,152486.03
1656,147368.95
1657,153827.39
1658,147363.42
1659,144384.25
1660,148445.4
1661,413354.03
1662,393243.78
1663,397886.78
1664,549672.9
1665,305618.88
1666,320684.1
1667,342356.66
1668,325791.72
1669,309817.4
1670,314396.25
1671,249507.03
1672,552988.25
1673,293579.44
1674,253443.27
1675,182658.83
1676,181681.1
1677,211118.75
1678,526344.8
1679,431968.78
1680,340741.38
1681,276178.84
1682,300239.94
1683,185902.8
1684,168910.77
1685,174686.72
1686,170743.47
1687,164928.23
1688,179853.62
1689,183999.11
1690,189404.5
1691,175309.72
1692,276708.1
1693,170004.64
1694,180919.81
1695,164406.22
